"competition","mf","level","match_id","date","home_team","visiting_team","match_n_sets","home_team_set_score","visiting_team_set_score","set_number","home_team_score","visiting_team_score","margin"
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764639",2019-10-05,"Eastern Mich.","Ohio",4,3,1,1,28,26,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764639",2019-10-05,"Eastern Mich.","Ohio",4,3,1,2,25,17,8
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764639",2019-10-05,"Eastern Mich.","Ohio",4,3,1,3,18,25,7
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764639",2019-10-05,"Eastern Mich.","Ohio",4,3,1,4,25,21,4
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764637",2019-10-05,"Bowling Green","Buffalo",3,3,0,1,25,19,6
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764637",2019-10-05,"Bowling Green","Buffalo",3,3,0,2,25,14,11
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764637",2019-10-05,"Bowling Green","Buffalo",3,3,0,3,25,20,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764640",2019-10-05,"Central Mich.","Kent State",4,3,1,1,23,25,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764640",2019-10-05,"Central Mich.","Kent State",4,3,1,2,25,19,6
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764640",2019-10-05,"Central Mich.","Kent State",4,3,1,3,25,23,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764640",2019-10-05,"Central Mich.","Kent State",4,3,1,4,25,16,9
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764670",2019-10-05,"Murray State","Southeast Mo. State",3,0,3,1,23,25,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764670",2019-10-05,"Murray State","Southeast Mo. State",3,0,3,2,20,25,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764670",2019-10-05,"Murray State","Southeast Mo. State",3,0,3,3,18,25,7
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764665",2019-10-05,"Missouri State","Drake",4,3,1,1,25,23,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1764665",2019-10-05,"Missouri State","Drake",4,3,1,2,18,25,7
